iter	RMSE
0	38.83410898
1	35.88456971
2	32.93902727
3	30.5809187
4	27.994769
5	25.67299986
6	23.52141834
7	21.7084888
8	20.00916671
9	18.51384352
10	17.16913922
11	16.10128049
12	14.85634316
13	13.78436909
14	12.70608769
15	11.79596753
16	10.97656297
17	10.26312121
18	9.546832221
19	8.949089211
20	8.331914207
21	7.74316927
22	7.176770611
23	6.712980547
24	6.29645442
25	5.907604512
26	5.567377435
27	5.241653719
28	4.959329948
29	4.674467085
30	4.484784695
31	4.247710025
32	4.071965752
33	3.881167549
34	3.717265841
35	3.563189762
36	3.456673813
37	3.334198222
38	3.238226993
39	3.140196297
40	3.060046039
41	2.980071578
42	2.91256989
43	2.844645901
44	2.77650355
45	2.716684784
46	2.656396465
47	2.613978119
48	2.573188225
49	2.530953366
50	2.49679684
51	2.445093318
52	2.401717983
53	2.348835321
54	2.321562848
55	2.293409922
56	2.252384326
57	2.220163389
58	2.199496265
59	2.179364
60	2.162547198
61	2.141549678
62	2.125986537
63	2.102556393
64	2.067681483
65	2.043490371
66	2.015939761
67	1.98064068
68	1.959129807
69	1.948081746
70	1.93133789
71	1.901830393
72	1.880135198
73	1.85538524
74	1.832692808
75	1.813996145
76	1.794489564
77	1.773546713
78	1.750258335
79	1.740367916
80	1.727249183
81	1.705266617
82	1.686986299
83	1.672183157
84	1.656069187
85	1.632195409
86	1.614257877
87	1.598263221
88	1.585340501
89	1.574792666
90	1.556322406
91	1.544671311
92	1.526565166
93	1.516093987
94	1.498196853
95	1.487645996
96	1.468614755
97	1.458550674
98	1.450050008
99	1.432944916
