iter	Passed	Remaining
0	128	12708
1	129	6325
2	129	4194
3	130	3130
4	131	2490
5	131	2063
6	132	1758
7	133	1529
8	133	1351
9	134	1208
10	134	1091
11	135	994
12	136	911
13	136	840
14	137	778
15	138	724
16	138	677
17	139	635
18	140	597
19	140	563
20	141	531
21	141	503
22	142	477
23	143	453
24	143	430
25	144	410
26	144	392
27	145	374
28	146	357
29	146	342
30	147	327
31	147	314
32	148	301
33	148	288
34	149	277
35	149	266
36	150	256
37	150	246
38	151	236
39	151	227
40	152	219
41	153	211
42	153	203
43	154	196
44	154	189
45	155	182
46	156	176
47	156	169
48	157	163
49	158	158
50	158	152
51	159	146
52	159	141
53	160	136
54	160	131
55	161	126
56	162	122
57	162	117
58	163	113
59	163	109
60	164	104
61	164	100
62	165	97
63	165	93
64	166	89
65	167	86
66	167	82
67	168	79
68	168	75
69	169	72
70	169	69
71	170	66
72	171	63
73	171	60
74	172	57
75	172	54
76	173	51
77	174	49
78	174	46
79	175	43
80	175	41
81	176	38
82	176	36
83	177	33
84	177	31
85	178	29
86	179	26
87	179	24
88	180	22
89	180	20
90	181	17
91	182	15
92	182	13
93	183	11
94	184	9
95	184	7
96	185	5
97	186	3
98	186	1
99	187	0
