iter	RMSE
0	39.55741862
1	36.30629035
2	33.50395607
3	30.85347238
4	28.5817156
5	26.18454519
6	24.18019808
7	22.20193384
8	20.39295104
9	18.7042751
10	17.2233054
11	16.06512729
12	14.70998358
13	13.56726284
14	12.54368043
15	11.59506694
16	10.74516129
17	9.91177739
18	9.208249369
19	8.540621705
20	7.997343453
21	7.417408401
22	6.866252571
23	6.42148135
24	6.051741735
25	5.656685138
26	5.289150086
27	4.941683101
28	4.639049972
29	4.375576434
30	4.123479157
31	3.91592712
32	3.700102912
33	3.535113822
34	3.358157727
35	3.206625436
36	3.079798417
37	2.969175738
38	2.853636384
39	2.772833636
40	2.688030032
41	2.620683711
42	2.546512909
43	2.493868156
44	2.43555318
45	2.390977979
46	2.337691015
47	2.299073398
48	2.263419965
49	2.238684598
50	2.203137159
51	2.175249429
52	2.150053919
53	2.121741295
54	2.103472426
55	2.081396968
56	2.06048534
57	2.034562143
58	2.011413765
59	1.994144835
60	1.969117831
61	1.952910741
62	1.937788327
63	1.923558742
64	1.90873273
65	1.878814869
66	1.859515961
67	1.835471632
68	1.817736304
69	1.789904736
70	1.775222325
71	1.754234403
72	1.731293859
73	1.706029919
74	1.691834071
75	1.674475135
76	1.652073452
77	1.628396949
78	1.615267458
79	1.60300034
80	1.581611217
81	1.56829375
82	1.555381104
83	1.538400416
84	1.527822905
85	1.509725026
86	1.495178456
87	1.484764554
88	1.475427057
89	1.45918501
90	1.446762041
91	1.435871341
92	1.418484987
93	1.401030985
94	1.394474982
95	1.389647288
96	1.37429085
97	1.364139881
98	1.351794057
99	1.342036717
