iter	Passed	Remaining
0	148	14661
1	150	7352
2	150	4879
3	152	3648
4	153	2918
5	155	2428
6	156	2079
7	158	1818
8	159	1613
9	160	1448
10	162	1313
11	163	1196
12	164	1101
13	165	1019
14	167	947
15	168	886
16	170	831
17	171	782
18	173	738
19	174	698
20	176	662
21	177	628
22	178	598
23	180	570
24	181	544
25	182	520
26	184	498
27	185	477
28	186	457
29	188	439
30	189	421
31	191	405
32	192	390
33	193	375
34	194	361
35	196	349
36	197	336
37	199	324
38	200	313
39	201	302
40	203	292
41	205	283
42	206	273
43	208	264
44	209	255
45	210	247
46	212	239
47	213	231
48	214	223
49	216	216
50	217	208
51	219	202
52	221	196
53	222	189
54	223	183
55	225	176
56	226	170
57	228	165
58	229	159
59	230	153
60	232	148
61	233	143
62	235	138
63	236	133
64	238	128
65	239	123
66	241	118
67	242	113
68	243	109
69	244	104
70	246	100
71	247	96
72	249	92
73	250	88
74	252	84
75	253	80
76	254	76
77	256	72
78	257	68
79	259	64
80	260	61
81	262	57
82	263	54
83	265	50
84	266	47
85	267	43
86	269	40
87	270	36
88	271	33
89	273	30
90	274	27
91	276	24
92	277	20
93	279	17
94	280	14
95	281	11
96	282	8
97	284	5
98	285	2
99	287	0
